industry,score,a_weighted_rating,a_visibility,a_spread,a_volume,a_time,a_length,a_score
health-care-senior-care,0.450873372844857,0.690150585764806,0.0,0.225675,0.175,0.285714285714286,0.636363636363636,0.450873372844857
automotive-parts,0.151566250000000,0.5,0.0,0.5,0.0075,0.0,0.5,0.151566250000000
hospitality-&-travel-hotel-&-motel,0.558847873588783,0.486161310356515,0.0,0.468428390367554,0.67,1.0,0.450689289501591,0.558847873588783
health-care-physicians,0.209510114507867,0.848024724536415,0.0,0.36482,0.02,0.178571428571429,0.0,0.209510114507867
restaurants-fast-food,0.213024996698266,0.294461129162945,0.0,0.4,0.146666666666667,0.160714285714286,0.666666666666667,0.213024996698266
automotive-dealer,0.147144697766926,0.462308813155451,0.0,0.35,0.033333333333333,0.0,0.0,0.147144697766926
automotive-dealer,0.143129948190750,0.818978534505108,0.0,0.0,0.0,0.0,0.0,0.143129948190750
restaurants-fast-food,0.179014354814954,0.174105183386473,0.0,0.7,0.09,0.178571428571429,0.375,0.179014354814954
retail-department-stores,0.477585108627032,0.497848996705074,0.0,0.63,0.4,0.357142857142857,0.869565217391304,0.477585108627032
automotive-dealer,0.264182338545150,0.870865833263941,0.0,0.38,0.031515151515152,0.043290043290043,0.6875,0.264182338545150
retail-special-services,0.348495427626660,0.238446725372389,0.0,0.88,0.225,0.071428571428571,0.675675675675676,0.348495427626660
automotive-rental,0.185888846855924,0.435394296608139,0.0,0.5,0.034666666666667,0.095238095238095,0.571428571428571,0.185888846855924
health-care-hospitals-&-facilities,0.443417707103411,0.989694548759911,0.0,0.046733333333333,0.05,0.047619047619048,0.066666666666667,0.443417707103411
health-care-hospitals-&-facilities,0.179566903731491,0.981331665457559,0.0,0.26,0.004666666666667,0.0,0.416666666666667,0.179566903731491
restaurants-fast-food,0.243047561356122,0.479344370674,0.0,0.7,0.09,0.107142857142857,0.3,0.243047561356122
automotive-dealer,0.526832151912478,0.483623886722617,0.0,0.676071428571429,0.513333333333333,0.32034632034632,0.57258064516129,0.526832151912478
retail-retail-other,0.167231286003253,0.423599128313081,0.0,0.5,0.02,0.071428571428571,0.5,0.167231286003253
restaurants-fast-food,0.257566206442250,0.271632693790967,0.0,0.7,0.18,0.071428571428571,0.642857142857143,0.257566206442250
real-estate-property-management,0.439359355117278,0.616986438068432,0.0,0.53,0.28,0.571428571428571,0.472727272727273,0.439359355117278
technology-mobile-provider,0.685803554869024,0.991061740508634,0.0,0.52,0.245,0.392857142857143,0.3,0.685803554869024
