industry,a_weighted_rating,a_visibility,a_spread,a_volume,a_time,a_length,a_score
health-care-home-care,0.144643575588216,0.0,0.0587243322243375,0.00577143220092915,0.0119047619047619,0.116049294597626,0.0365762335757197
technology-electronics,0.0,0.0,0.0,0.0,0.0,0.0,0.002926
health-care-pediatricians,0.41608559653665,0.0,0.193464381145018,0.0609603718790123,0.0987654320987655,0.399040225836235,0.147315635677167
home-services-home-services-other,0.41331091252378,0.0,0.348690868262723,0.203987230215827,0.27415210688592,0.433936012292623,0.293356145723742
health-care-hospitals-&-facilities,0.302063266114629,0.0,0.112120592263985,0.032071140581442,0.0545479768110863,0.248178507076674,0.0979580794528114
restaurants-fine-dining,0.412758957897844,0.0,0.134348339584236,0.0117489984563362,0.0246165931901323,0.426308600805718,0.0873417771471193
health-care-medical-spa,0.162218779552737,0.0,0.281423611111111,0.155989583333333,0.238095238095238,0.39354781997187,0.154412966744452
technology-internet-service-provider,0.242358147062184,0.0,0.2240234375,0.013875,0.0714285714285715,0.170634920634921,0.0652570367902957
entertainment-amusement-park,0.436632025262798,0.0,0.680123551180172,0.805892857142857,0.852040816326531,0.412023708136481,0.591398554524676
real-estate-real-estate-other,0.201567162524662,0.0,0.250374740185476,0.0505129261363636,0.0963744588744589,0.233139905457144,0.105383534855557
wedding-&-special-events-wedding-&-special-events-other,0.470389201164501,0.0,0.458046875,0.11875,0.0892857142857145,0.8,0.25236079486681
financial-services-accounting,0.0566979698877777,0.0,0.0159123850438025,0.00127363556338028,0.00294265593561368,0.0262850726837841,0.0158733518648686
financial-services-banks,0.244490335235101,0.0,0.140947600836725,0.00876142971865308,0.0209506930818406,0.186784418691401,0.0605887170897608
automotive-parts,0.279934225110714,0.0,0.399514986596198,0.197542580645161,0.26221198156682,0.531390794271461,0.236453904370233
technology-mobile-provider,0.289369083836783,0.0,0.440455625649522,0.118270104312763,0.176487677820076,0.362563378979983,0.187218393810184
beauty-spa,0.298750312384929,0.0,0.347362930844173,0.158933214852771,0.192881887165952,0.483063650641265,0.22804089672853
retail-supermarkets,0.586863316515955,0.0,0.681511904560868,0.429656986182422,0.62587910428442,0.463796769083718,0.546683668717182
automotive-tires,0.337396593135036,0.0,0.188148536308402,0.0551773648648649,0.101351351351351,0.334590039432236,0.113886557881152
